xFilter,xError,FINAL_EXEC_FLAG,LEVEL,GEO_CODE,GEO_NAME,,TY_DATE,LY_DATE,TY_MODEL,TY_NON_WX_MODEL,TY_SIG_TEMP_NEG_PCT,TY_SIG_TEMP_POS_PCT,TY_SIG_RAIN_PCT,TY_SIG_SNOW_PCT,TY_SIG_SNOW_AND_RAIN_PCT,TY_NULL_FORECAST,TY_MISSING_TEMP,TY_MISSING_PRECIP,LY_MODEL,LY_NON_WX_MODEL,LY_SIG_TEMP_NEG_PCT,LY_SIG_TEMP_POS_PCT,LY_SIG_RAIN_PCT,LY_SIG_SNOW_PCT,LY_SIG_SNOW_AND_RAIN_PCT,LY_NULL_FORECAST,LY_MISSING_TEMP,LY_MISSING_PRECIP,TY_AVG_MIN_TEMP,TY_AVG_MAX_TEMP,TY_TOTAL_PRECIP,TY_TOTAL_SNOW,LY_AVG_MIN_TEMP,LY_AVG_MAX_TEMP,LY_TOTAL_PRECIP,LY_TOTAL_SNOW,NRM_AVG_MIN_TEMP,NRM_AVG_MAX_TEMP,NRM_TOTAL_PRECIP,NRM_TOTAL_SNOW,tytrn,lytrn,comp,tybase,lybase,reasoncode,monthyr,tychg,lychg,impactty,impactly,tycompwoweather,compduetoweather,Datafile,_CreateDt,_CreateBy
 , ,Y,COOP,24,SEA/TCA WA CP-0024,,1/1/2011,1/2/2010,0.734563,0.768359,2,0,0,0,0,0,0,0,0.959304,0.96216,0,0,29,0,0,0,0,0,22.120858,39.373794,0,0.01251,43.697699,48.252531,0.164265,0,37.450811,47.341834,0.161188,0.164009,694.2346939,812.2857143,-0.145331893,867.1066667,1036.842623,B,12011,-0.033796,-0.002856,-29.30473691,-2.961222531,-0.112490464,-0.032841429,weather.weatherhist_coop,23FEB11:13:49:58,jbrown
 , ,Y,COOP,24,SEA/TCA WA CP-0024,,1/2/2011,1/3/2010,0.926226,0.960586,1,0,0,0,0,0,0,0,1.004843,1.003374,0,0,0,0,0,0,0,0,22.812261,39.394068,0,0.010622,39.604215,48.266448,0.021659,0,37.805253,47.502505,0.161927,0.16603,713.0982143,678.2857143,0.051324242,781.1593989,790.4961749,T,12011,-0.03436,0.001469,-26.84063695,0,0.090895526,-0.039571284,weather.weatherhist_coop,23FEB11:13:49:58,jbrown
 , ,Y,COOP,24,SEA/TCA WA CP-0024,,1/3/2011,1/4/2010,0.985524,1.003374,0,0,0,0,0,0,0,0,0.941247,0.955288,0,0,99,0,0,0,0,0,23.703773,41.590352,0,0.010263,43.542732,49.388141,0.972607,0,35.050008,46.01041,0.161568,0.165671,914.3513514,861.1981982,0.06172,986.8986339,955.9672131,L,12011,-0.01785,-0.014041,0,-13.42273564,0.045425871,0.01629413,weather.weatherhist_coop,23FEB11:13:49:58,jbrown
 , ,Y,COOP,24,SEA/TCA WA CP-0024,,1/4/2011,1/5/2010,0.933113,0.968774,11,0,0,0,0,0,0,0,0.976838,0.966641,0,0,25,0,0,0,0,0,25.673135,37.531343,0.020153,0.014172,44.039363,50.532041,0.228999,0,35.273894,46.150762,0.161568,0.165671,918.7636364,878.4636364,0.045875547,1045.522459,995.8579235,B,12011,-0.035661,0.010197,-37.28437641,10.15476325,0.101046002,-0.055170454,weather.weatherhist_coop,23FEB11:13:49:58,jbrown
 , ,Y,COOP,24,SEA/TCA WA CP-0024,,1/5/2011,1/6/2010,0.959838,0.967682,0,0,15,0,0,0,0,0,0.983539,0.968871,0,0,6,0,0,0,0,0,34.396063,45.072592,0.191818,0.014531,41.080512,49.634743,0.023955,0,34.647835,45.896884,0.164692,0.165671,939.8275862,900.0948276,0.044142859,1097.457377,1017.391257,B,12011,-0.007844,0.014668,-8.608455666,14.92309496,0.071471226,-0.027328368,weather.weatherhist_coop,23FEB11:13:49:58,jbrown
 , ,Y,COOP,24,SEA/TCA WA CP-0024,,1/6/2011,1/7/2010,0.966545,0.965393,0,0,32,0,0,0,0,0,0.969513,0.968871,0,0,6,0,0,0,0,0,43.60462,48.389811,0.185828,0.014531,37.670778,48.075475,0.095358,0,35.061258,46.989938,0.165233,0.167832,916.5438597,887.6754386,0.03252137,1112.837541,1040.963934,N,12011,0.001152,0.000642,1.281988847,0.668298846,0.031854006,0,weather.weatherhist_coop,23FEB11:13:49:58,jbrown
 , ,Y,COOP,24,SEA/TCA WA CP-0024,,1/7/2011,1/8/2010,0.942272,0.955288,0,0,99,0,0,0,0,0,0.932246,0.955765,0,0,93,0,0,0,0,0,37.049634,47.656838,0.409954,0.014889,39.371656,46.709315,0.747857,0.003909,37.776661,48.786437,0.167362,0.169091,974.9791667,926.7083333,0.052088485,1232.584863,1155.170492,B,12011,-0.013016,-0.023519,-16.04332458,-27.1684548,0.038941825,0.01314666,weather.weatherhist_coop,23FEB11:13:49:58,jbrown
 , ,Y,COOP,24,SEA/TCA WA CP-0024,,1/8/2011,1/9/2010,0.938513,0.969407,0,0,2,0,0,0,0,0,0.986104,0.96549,0,4,23,0,0,0,0,0,32.755982,40.86964,0.024186,0.014889,42.184774,53.747459,0.235307,0.003909,36.525683,47.643062,0.174034,0.169091,652.25,690.0833333,-0.054824297,1091.622022,1037.634973,B,12011,-0.030894,0.020614,-33.72457074,21.38980733,0.025842997,-0.080667294,weather.weatherhist_coop,23FEB11:13:49:58,jbrown
 , ,Y,COOP,24,SEA/TCA WA CP-0024,,1/9/2011,1/10/2010,0.915395,0.95808,66,0,2,0,0,0,0,0,0.992214,0.968256,0,4,0,0,0,0,0,0,30.811739,38.516968,0.032916,0.014889,42.570867,54.232365,0.06553,0,36.54825,48.114417,0.17595,0.169091,661.2654867,667.2212389,-0.008926203,823.300929,795.9491803,B,12011,-0.042685,0.023958,-35.14260015,19.06935046,0.074451991,-0.083378194,weather.weatherhist_coop,23FEB11:13:49:58,jbrown
 , ,Y,COOP,24,SEA/TCA WA CP-0024,,1/10/2011,1/11/2010,0.914245,0.957544,71,0,0,0,0,0,0,0,0.955992,0.95468,0,7,95,0,0,0,0,0,28.936603,37.788563,0.002749,0.014531,45.1121,55.406294,0.978196,0,36.509955,47.365521,0.186505,0.168733,838.9375,794.5446429,0.055872074,982.424918,957.7704918,B,12011,-0.043299,0.001312,-42.53801653,1.256594885,0.11116702,-0.055294946,weather.weatherhist_coop,23FEB11:13:49:58,jbrown
